Code Famille de métier,Code ROME,Correspondance NAF,Libellé domaines professionnels,Libellé Famille de métier ,Libellé Métiers,Libellé ROME,Sum of OGR,Code Domaines professionnels
A11,A1101,,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Chauffeur / Chauffeuse de machines agricoles,Conduite d'engins agricoles et forestiers,11987,A
A11,A1101,,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conducteur / Conductrice d'abatteuses,Conduite d'engins agricoles et forestiers,12862,A
A11,A1101,,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conducteur / Conductrice d'automoteur de récolte,Conduite d'engins agricoles et forestiers,38874,A
A11,A1101,,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conducteur / Conductrice de machines à vendanger,Conduite d'engins agricoles et forestiers,13232,A
A11,A1101,,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conducteur / Conductrice de matériels de semis,Conduite d'engins agricoles et forestiers,38878,A
A11,A1101,,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conducteur / Conductrice de pulvérisateur,Conduite d'engins agricoles et forestiers,38875,A
A11,A1101,,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conducteur / Conductrice de tête d'abattage,Conduite d'engins agricoles et forestiers,13197,A
A11,A1101,,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conducteur / Conductrice de tracteur,Conduite d'engins agricoles et forestiers,13201,A
A11,A1101,,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conducteur / Conductrice de tracteur enjambeur,Conduite d'engins agricoles et forestiers,140877,A
A11,A1101,,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conducteur / Conductrice de tracto-benne,Conduite d'engins agricoles et forestiers,38879,A
A11,A1101,,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conducteur / Conductrice d'engins de débardage,Conduite d'engins agricoles et forestiers,13248,A
A11,A1101,,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conducteur / Conductrice d'engins d'exploitation agricole,Conduite d'engins agricoles et forestiers,13254,A
A11,A1101,,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conducteur / Conductrice d'engins d'exploitation forestière,Conduite d'engins agricoles et forestiers,13255,A
A11,A1101,,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conducteur / Conductrice d'engins forestiers,Conduite d'engins agricoles et forestiers,13256,A
A11,A1101,,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Conducteur / Conductrice d'épareuse,Conduite d'engins agricoles et forestiers,38877,A
A11,A1101,,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Débardeur / Débardeuse,Conduite d'engins agricoles et forestiers,13886,A
A11,A1101,,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Débardeur forestier / Débardeuse forestière,Conduite d'engins agricoles et forestiers,13887,A
A11,A1101,,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Opérateur / Opératrice d'abatteuse,Conduite d'engins agricoles et forestiers,17055,A
A11,A1101,,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",Engins agricoles et forestiers,Opérateur / Opératrice d'épandage,Conduite d'engins agricoles et forestiers,38876,A
