Code ROME,Division NAF,Division NAF avec libellé,Division NAF ROME,Label ROME
,01,"01 - Culture et production animale, chasse et services annexes",01,
A1101,01,"01 - Culture et production animale, chasse et services annexes",01 -A1101,Conduite d'engins agricoles et forestiers
A1101,02,02 - Sylviculture et exploitation forestière,02 -A1101,Conduite d'engins agricoles et forestiers
A1201,02,02 - Sylviculture et exploitation forestière,02 -A1201,Bucheronnage et élagage
A1202,01,"01 - Culture et production animale, chasse et services annexes",01 -A1202,Entretien des espaces naturels
A1202,02,02 - Sylviculture et exploitation forestière,02 -A1202,Entretien des espaces naturels
A1203,02,02 - Sylviculture et exploitation forestière,02 -A1203,Entretien des espaces verts
A1203,81,81 - Services relatifs aux bâtiments et aménagement paysager,81 -A1203,Entretien des espaces verts
A1203,97,97 - Activités des ménages en tant qu'employeurs de personnel domestique,97 -A1203,Entretien des espaces verts
A1204,01,"01 - Culture et production animale, chasse et services annexes",01 -A1204,Protection du patrimoine naturel
A1204,02,02 - Sylviculture et exploitation forestière,02 -A1204,Protection du patrimoine naturel
A1204,91,"91 - Bibliothèques, archives, musées et autres activités culturelles",91 -A1204,Protection du patrimoine naturel
A1204,94,94 - Activités des organisations associatives,94 -A1204,Protection du patrimoine naturel
A1205,02,02 - Sylviculture et exploitation forestière,02 -A1205,Sylviculture
A1301,01,"01 - Culture et production animale, chasse et services annexes",01 -A1301,Conseil et assistance technique en agriculture
A1301,71,71 - Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,71 -A1301,Conseil et assistance technique en agriculture
A1302,01,"01 - Culture et production animale, chasse et services annexes",01 -A1302,Contrôle et diagnostic technique en agriculture
A1302,71,71 - Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,71 -A1302,Contrôle et diagnostic technique en agriculture
A1303,01,"01 - Culture et production animale, chasse et services annexes",01 -A1303,Ingénierie en agriculture et environnement naturel
A1303,02,02 - Sylviculture et exploitation forestière,02 -A1303,Ingénierie en agriculture et environnement naturel
A1303,71,71 - Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,71 -A1303,Ingénierie en agriculture et environnement naturel
