code NAF,GS,Libellé NAF,Code A38
01.11Z,GS0,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",AZ
01.12Z,GS0,Culture du riz,AZ
01.13Z,GS0,"Culture de légumes, de melons, de racines et de tubercules",AZ
01.14Z,GS0,Culture de la canne à sucre,AZ
01.15Z,GS0,Culture du tabac,AZ
01.16Z,GS0,Culture de plantes à fibres,AZ
01.19Z,GS0,Autres cultures non permanentes,AZ
01.21Z,GS0,Culture de la vigne,AZ
01.22Z,GS0,Culture de fruits tropicaux et subtropicaux,AZ
01.23Z,GS0,Culture d'agrumes,AZ
01.24Z,GS0,Culture de fruits à pépins et à noyau,AZ
01.25Z,GS0,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,AZ
01.26Z,GS0,Culture de fruits oléagineux,AZ
01.27Z,GS0,Culture de plantes à boissons,AZ
01.28Z,GS0,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques",AZ
01.29Z,GS0,Autres cultures permanentes,AZ
01.30Z,GS0,Reproduction de plantes,AZ
01.41Z,GS0,Élevage de vaches laitières,AZ
01.42Z,GS0,Élevage d'autres bovins et de buffles,AZ
01.43Z,GS0,Élevage de chevaux et d'autres équidés,AZ
01.44Z,GS0,Élevage de chameaux et d'autres camélidés,AZ
01.45Z,GS0,Élevage d'ovins et de caprins,AZ
01.46Z,GS0,Élevage de porcins,AZ
01.47Z,GS0,Élevage de volailles,AZ
01.49Z,GS0,Élevage d'autres animaux,AZ
01.50Z,GS0,Culture et élevage associés,AZ
01.61Z,GS0,Activités de soutien aux cultures,AZ
01.62Z,GS0,Activités de soutien à la production animale,AZ
01.63Z,GS0,Traitement primaire des récoltes,AZ
01.64Z,GS0,Traitement des semences,AZ
01.70Z,GS0,"Chasse, piégeage et services annexes",AZ
02.10Z,GS0,Sylviculture et autres activités forestières,AZ
02.20Z,GS0,Exploitation forestière,AZ
02.30Z,GS0,Récolte de produits forestiers non ligneux poussant à l'état sauvage,AZ
02.40Z,GS0,Services de soutien à l'exploitation forestière,AZ
03.11Z,GS0,Pêche en mer,AZ
03.12Z,GS0,Pêche en eau douce,AZ
03.21Z,GS0,Aquaculture en mer,AZ
03.22Z,GS0,Aquaculture en eau douce,AZ
05.10Z,GS1,Extraction de houille,BZ
05.20Z,GS1,Extraction de lignite,BZ
06.10Z,GS1,Extraction de pétrole brut,BZ
06.20Z,GS1,Extraction de gaz naturel,BZ
07.10Z,GS1,Extraction de minerais de fer,BZ
07.21Z,GS1,Extraction de minerais d'uranium et de thorium,BZ
07.29Z,GS1,Extraction d'autres minerais de métaux non ferreux,BZ
08.11Z,GS1,"Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise",BZ
08.12Z,GS1,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",BZ
08.91Z,GS1,Extraction des minéraux chimiques et d'engrais minéraux,BZ
08.92Z,GS1,Extraction de tourbe,BZ
08.93Z,GS1,Production de sel,BZ
08.99Z,GS1,Autres activités extractives n.c.a.,BZ
09.10Z,GS1,Activités de soutien à l'extraction d'hydrocarbures,BZ
09.90Z,GS1,Activités de soutien aux autres industries extractives,BZ
10.11Z,GS1,Transformation et conservation de la viande de boucherie,CA
10.12Z,GS1,Transformation et conservation de la viande de volaille,CA
10.13A,GS1,Préparation industrielle de produits à base de viande,CA
10.13B,GS1,Charcuterie,CA
10.20Z,GS1,"Transformation et conservation de poisson, de crustacés et de mollusques",CA
10.31Z,GS1,Transformation et conservation de pommes de terre,CA
10.32Z,GS1,Préparation de jus de fruits et légumes,CA
10.39A,GS1,Autre transformation et conservation de légumes,CA
10.39B,GS1,Transformation et conservation de fruits,CA
10.41A,GS1,Fabrication d'huiles et graisses brutes,CA
10.41B,GS1,Fabrication d'huiles et graisses raffinées,CA
10.42Z,GS1,Fabrication de margarine et graisses comestibles similaires,CA
10.51A,GS1,Fabrication de lait liquide et de produits frais,CA
10.51B,GS1,Fabrication de beurre,CA
10.51C,GS1,Fabrication de fromage,CA
10.51D,GS1,Fabrication d'autres produits laitiers,CA
10.52Z,GS1,Fabrication de glaces et sorbets,CA
10.61A,GS1,Meunerie,CA
10.61B,GS1,Autres activités du travail des grains,CA
10.62Z,GS1,Fabrication de produits amylacés,CA
10.71A,GS1,Fabrication industrielle de pain et de pâtisserie fraîche,CA
10.71B,GS1,Cuisson de produits de boulangerie,CA
10.71C,GS1,Boulangerie et boulangerie-pâtisserie,CA
10.71D,GS1,Pâtisserie,CA
10.72Z,GS1,"Fabrication de biscuits, biscottes et pâtisseries de conservation",CA
10.73Z,GS1,Fabrication de pâtes alimentaires,CA
10.81Z,GS1,Fabrication de sucre,CA
10.82Z,GS1,"Fabrication de cacao, chocolat et de produits de confiserie",CA
10.83Z,GS1,Transformation du thé et du café,CA
10.84Z,GS1,Fabrication de condiments et assaisonnements,CA
10.85Z,GS1,Fabrication de plats préparés,CA
10.86Z,GS1,Fabrication d'aliments homogénéisés et diététiques,CA
10.89Z,GS1,Fabrication d'autres produits alimentaires n.c.a.,CA
10.91Z,GS1,Fabrication d'aliments pour animaux de ferme,CA
10.92Z,GS1,Fabrication d'aliments pour animaux de compagnie,CA
11.01Z,GS1,Production de boissons alcooliques distillées,CA
11.02A,GS1,Fabrication de vins effervescents,CA
11.02B,GS1,Vinification,CA
11.03Z,GS1,Fabrication de cidre et de vins de fruits,CA
11.04Z,GS1,Production d'autres boissons fermentées non distillées,CA
11.05Z,GS1,Fabrication de bière,CA
11.06Z,GS1,Fabrication de malt,CA
11.07A,GS1,Industrie des eaux de table,CA
11.07B,GS1,Production de boissons rafraîchissantes,CA
12.00Z,GS1,Fabrication de produits à base de tabac,CA
13.10Z,GS1,Préparation de fibres textiles et filature,CB
13.20Z,GS1,Tissage,CB
13.30Z,GS1,Ennoblissement textile,CB
13.91Z,GS1,Fabrication d'étoffes à mailles,CB
13.92Z,GS1,"Fabrication d'articles textiles, sauf habillement",CB
13.93Z,GS1,Fabrication de tapis et moquettes,CB
13.94Z,GS1,"Fabrication de ficelles, cordes et filets",CB
13.95Z,GS1,"Fabrication de non-tissés, sauf habillement",CB
13.96Z,GS1,Fabrication d'autres textiles techniques et industriels,CB
13.99Z,GS1,Fabrication d'autres textiles n.c.a.,CB
14.11Z,GS1,Fabrication de vêtements en cuir,CB
14.12Z,GS1,Fabrication de vêtements de travail,CB
14.13Z,GS1,Fabrication de vêtements de dessus,CB
14.14Z,GS1,Fabrication de vêtements de dessous,CB
14.19Z,GS1,Fabrication d'autres vêtements et accessoires,CB
14.20Z,GS1,Fabrication d'articles en fourrure,CB
