Classement des communes en loi littoral,Classement des communes en zone de revitalisation rurale - ZRR 2018,Code commune,Communes des parcs naturels régionaux (PNR),"Communes éligibles au zonage d'aide à finalité régionale (AFR), période 2014-2021",Classement des communes en zone de revitalisation des commerces en milieu rural - ZoRCoMiR,Libellé,Modalités de classement des communes en zone de revitalisation rurale - ZRR 2018,Sum of Nombre de communes bénéficiaires du programme Action Cœur de Ville (ACV),Nombre de quartiers prioritaires de la politique de la ville (QPV),Sum of Nombre de ZFU présentes sur le territoire,Sum of Part de la population municipale vivant dans un quartier prioritaire de la politique de la ville (QPV),Périmètre des contrats de relance et de transition écologique (CRTE),Périmètre des massifs,Périmètre des territoires d'industrie,Sum of Population municipale vivant dans un quartier prioritaire de la politique de la ville (QPV),Villes bénéficiaire du programme Petites villes de demain (PVD),Villes bénéficiaires du programme Action Coeur de Ville (ACV)
C - Commune classée,C - Classée en ZRR,50021,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,C - Classée en ZoRCoMiR,Audouville-la-Hubert,C - Classée en ZRR,0,N/A - résultat non disponible,0,0,crte-28-50-7 - CRTE de la Baie du Cotentin,N/A - hors champ,ti-2806 - Nord Cotentin,0,NB - Hors programme PVD,N/A - hors champ
C - Commune classée,C - Classée en ZRR,50025,N/A - hors champ,NC - Non éligible,NC - Non classée en ZoRCoMiR,Avranches,C - Classée en ZRR,0,1,0,11.3,crte-28-50-2 - CRTE Mont-Saint-Michel-Normandie,N/A - hors champ,ti-2808 - Sud Manche,1162,B - Ville bénéficiaire du programme Petites villes de demain (PVD),N/A - hors champ
C - Commune classée,C - Classée en ZRR,50042,N/A - hors champ,NC - Non éligible,NC - Non classée en ZoRCoMiR,Beauvoir,C - Classée en ZRR,0,N/A - résultat non disponible,0,0,crte-28-50-2 - CRTE Mont-Saint-Michel-Normandie,N/A - hors champ,ti-2808 - Sud Manche,0,NB - Hors programme PVD,N/A - hors champ
C - Commune classée,C - Classée en ZRR,50078,N/A - hors champ,NC - Non éligible,C - Classée en ZoRCoMiR,Bretteville-sur-Ay,C - Classée en ZRR,0,N/A - résultat non disponible,0,0,crte-28-50-4 - CRTE Côte Ouest Centre Manche,N/A - hors champ,N/A - hors champ,0,NB - Hors programme PVD,N/A - hors champ
C - Commune classée,C - Classée en ZRR,50099,FR8000021 - PNR des Marais du Cotentin et du Bessin,P - Partiellement,NC - Non classée en ZoRCoMiR,Carentan-les-Marais,C - Classée en ZRR,0,N/A - résultat non disponible,0,0,crte-28-50-7 - CRTE de la Baie du Cotentin,N/A - hors champ,ti-2806 - Nord Cotentin,0,B - Ville bénéficiaire du programme Petites villes de demain (PVD),N/A - hors champ
C - Commune classée,C - Classée en ZRR,50108,N/A - hors champ,NC - Non éligible,C - Classée en ZoRCoMiR,Céaux,C - Classée en ZRR,0,N/A - résultat non disponible,0,0,crte-28-50-2 - CRTE Mont-Saint-Michel-Normandie,N/A - hors champ,ti-2808 - Sud Manche,0,NB - Hors programme PVD,N/A - hors champ
C - Commune classée,C - Classée en ZRR,50146,N/A - hors champ,NC - Non éligible,NC - Non classée en ZoRCoMiR,Courtils,C - Classée en ZRR,0,N/A - résultat non disponible,0,0,crte-28-50-2 - CRTE Mont-Saint-Michel-Normandie,N/A - hors champ,ti-2808 - Sud Manche,0,NB - Hors programme PVD,N/A - hors champ
C - Commune classée,C - Classée en ZRR,50151,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,NC - Non classée en ZoRCoMiR,Créances,C - Classée en ZRR,0,N/A - résultat non disponible,0,0,crte-28-50-4 - CRTE Côte Ouest Centre Manche,N/A - hors champ,N/A - hors champ,0,NB - Hors programme PVD,N/A - hors champ
C - Commune classée,C - Classée en ZRR,50167,N/A - hors champ,NC - Non éligible,NC - Non classée en ZoRCoMiR,Dragey-Ronthon,C - Classée en ZRR,0,N/A - résultat non disponible,0,0,crte-28-50-2 - CRTE Mont-Saint-Michel-Normandie,N/A - hors champ,ti-2808 - Sud Manche,0,NB - Hors programme PVD,N/A - hors champ
C - Commune classée,C - Classée en ZRR,50198,N/A - hors champ,NC - Non éligible,C - Classée en ZoRCoMiR,Geffosses,C - Classée en ZRR,0,N/A - résultat non disponible,0,0,crte-28-50-4 - CRTE Côte Ouest Centre Manche,N/A - hors champ,N/A - hors champ,0,NB - Hors programme PVD,N/A - hors champ
C - Commune classée,C - Classée en ZRR,50199,N/A - hors champ,NC - Non éligible,NC - Non classée en ZoRCoMiR,Genêts,C - Classée en ZRR,0,N/A - résultat non disponible,0,0,crte-28-50-2 - CRTE Mont-Saint-Michel-Normandie,N/A - hors champ,ti-2808 - Sud Manche,0,NB - Hors programme PVD,N/A - hors champ
C - Commune classée,C - Classée en ZRR,50236,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,NC - Non classée en ZoRCoMiR,La Haye,C - Classée en ZRR,0,N/A - résultat non disponible,0,0,crte-28-50-4 - CRTE Côte Ouest Centre Manche,N/A - hors champ,N/A - hors champ,0,B - Ville bénéficiaire du programme Petites villes de demain (PVD),N/A - hors champ
