Column1,Column2,Column3,Column4
01.11Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",AZ,GS0
01.12Z,Culture du riz,AZ,GS0
01.13Z,"Culture de légumes, de melons, de racines et de tubercules",AZ,GS0
01.14Z,Culture de la canne à sucre,AZ,GS0
01.15Z,Culture du tabac,AZ,GS0
01.16Z,Culture de plantes à fibres,AZ,GS0
01.19Z,Autres cultures non permanentes,AZ,GS0
01.21Z,Culture de la vigne,AZ,GS0
01.22Z,Culture de fruits tropicaux et subtropicaux,AZ,GS0
01.23Z,Culture d'agrumes,AZ,GS0
01.24Z,Culture de fruits à pépins et à noyau,AZ,GS0
01.25Z,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,AZ,GS0
01.26Z,Culture de fruits oléagineux,AZ,GS0
01.27Z,Culture de plantes à boissons,AZ,GS0
01.28Z,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques",AZ,GS0
01.29Z,Autres cultures permanentes,AZ,GS0
01.30Z,Reproduction de plantes,AZ,GS0
01.41Z,Élevage de vaches laitières,AZ,GS0
01.42Z,Élevage d'autres bovins et de buffles,AZ,GS0
01.43Z,Élevage de chevaux et d'autres équidés,AZ,GS0
01.44Z,Élevage de chameaux et d'autres camélidés,AZ,GS0
01.45Z,Élevage d'ovins et de caprins,AZ,GS0
01.46Z,Élevage de porcins,AZ,GS0
01.47Z,Élevage de volailles,AZ,GS0
01.49Z,Élevage d'autres animaux,AZ,GS0
01.50Z,Culture et élevage associés,AZ,GS0
01.61Z,Activités de soutien aux cultures,AZ,GS0
01.62Z,Activités de soutien à la production animale,AZ,GS0
01.63Z,Traitement primaire des récoltes,AZ,GS0
01.64Z,Traitement des semences,AZ,GS0
01.70Z,"Chasse, piégeage et services annexes",AZ,GS0
02.10Z,Sylviculture et autres activités forestières,AZ,GS0
02.20Z,Exploitation forestière,AZ,GS0
02.30Z,Récolte de produits forestiers non ligneux poussant à l'état sauvage,AZ,GS0
02.40Z,Services de soutien à l'exploitation forestière,AZ,GS0
03.11Z,Pêche en mer,AZ,GS0
03.12Z,Pêche en eau douce,AZ,GS0
03.21Z,Aquaculture en mer,AZ,GS0
03.22Z,Aquaculture en eau douce,AZ,GS0
05.10Z,Extraction de houille,BZ,GS1
05.20Z,Extraction de lignite,BZ,GS1
06.10Z,Extraction de pétrole brut,BZ,GS1
06.20Z,Extraction de gaz naturel,BZ,GS1
07.10Z,Extraction de minerais de fer,BZ,GS1
07.21Z,Extraction de minerais d'uranium et de thorium,BZ,GS1
07.29Z,Extraction d'autres minerais de métaux non ferreux,BZ,GS1
08.11Z,"Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise",BZ,GS1
08.12Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",BZ,GS1
08.91Z,Extraction des minéraux chimiques et d'engrais minéraux,BZ,GS1
08.92Z,Extraction de tourbe,BZ,GS1
08.93Z,Production de sel,BZ,GS1
08.99Z,Autres activités extractives n.c.a.,BZ,GS1
09.10Z,Activités de soutien à l'extraction d'hydrocarbures,BZ,GS1
09.90Z,Activités de soutien aux autres industries extractives,BZ,GS1
10.11Z,Transformation et conservation de la viande de boucherie,CA,GS1
10.12Z,Transformation et conservation de la viande de volaille,CA,GS1
10.13A,Préparation industrielle de produits à base de viande,CA,GS1
10.13B,Charcuterie,CA,GS1
10.20Z,"Transformation et conservation de poisson, de crustacés et de mollusques",CA,GS1
10.31Z,Transformation et conservation de pommes de terre,CA,GS1
10.32Z,Préparation de jus de fruits et légumes,CA,GS1
10.39A,Autre transformation et conservation de légumes,CA,GS1
10.39B,Transformation et conservation de fruits,CA,GS1
10.41A,Fabrication d'huiles et graisses brutes,CA,GS1
10.41B,Fabrication d'huiles et graisses raffinées,CA,GS1
10.42Z,Fabrication de margarine et graisses comestibles similaires,CA,GS1
10.51A,Fabrication de lait liquide et de produits frais,CA,GS1
10.51B,Fabrication de beurre,CA,GS1
10.51C,Fabrication de fromage,CA,GS1
10.51D,Fabrication d'autres produits laitiers,CA,GS1
10.52Z,Fabrication de glaces et sorbets,CA,GS1
10.61A,Meunerie,CA,GS1
10.61B,Autres activités du travail des grains,CA,GS1
10.62Z,Fabrication de produits amylacés,CA,GS1
10.71A,Fabrication industrielle de pain et de pâtisserie fraîche,CA,GS1
10.71B,Cuisson de produits de boulangerie,CA,GS1
10.71C,Boulangerie et boulangerie-pâtisserie,CA,GS1
10.71D,Pâtisserie,CA,GS1
10.72Z,"Fabrication de biscuits, biscottes et pâtisseries de conservation",CA,GS1
10.73Z,Fabrication de pâtes alimentaires,CA,GS1
10.81Z,Fabrication de sucre,CA,GS1
10.82Z,"Fabrication de cacao, chocolat et de produits de confiserie",CA,GS1
10.83Z,Transformation du thé et du café,CA,GS1
10.84Z,Fabrication de condiments et assaisonnements,CA,GS1
10.85Z,Fabrication de plats préparés,CA,GS1
10.86Z,Fabrication d'aliments homogénéisés et diététiques,CA,GS1
10.89Z,Fabrication d'autres produits alimentaires n.c.a.,CA,GS1
10.91Z,Fabrication d'aliments pour animaux de ferme,CA,GS1
10.92Z,Fabrication d'aliments pour animaux de compagnie,CA,GS1
11.01Z,Production de boissons alcooliques distillées,CA,GS1
11.02A,Fabrication de vins effervescents,CA,GS1
11.02B,Vinification,CA,GS1
11.03Z,Fabrication de cidre et de vins de fruits,CA,GS1
11.04Z,Production d'autres boissons fermentées non distillées,CA,GS1
11.05Z,Fabrication de bière,CA,GS1
11.06Z,Fabrication de malt,CA,GS1
11.07A,Industrie des eaux de table,CA,GS1
11.07B,Production de boissons rafraîchissantes,CA,GS1
12.00Z,Fabrication de produits à base de tabac,CA,GS1
13.10Z,Préparation de fibres textiles et filature,CB,GS1
13.20Z,Tissage,CB,GS1
13.30Z,Ennoblissement textile,CB,GS1
13.91Z,Fabrication d'étoffes à mailles,CB,GS1
13.92Z,"Fabrication d'articles textiles, sauf habillement",CB,GS1
13.93Z,Fabrication de tapis et moquettes,CB,GS1
13.94Z,"Fabrication de ficelles, cordes et filets",CB,GS1
13.95Z,"Fabrication de non-tissés, sauf habillement",CB,GS1
13.96Z,Fabrication d'autres textiles techniques et industriels,CB,GS1
13.99Z,Fabrication d'autres textiles n.c.a.,CB,GS1
14.11Z,Fabrication de vêtements en cuir,CB,GS1
14.12Z,Fabrication de vêtements de travail,CB,GS1
14.13Z,Fabrication de vêtements de dessus,CB,GS1
14.14Z,Fabrication de vêtements de dessous,CB,GS1
14.19Z,Fabrication d'autres vêtements et accessoires,CB,GS1
14.20Z,Fabrication d'articles en fourrure,CB,GS1
14.31Z,Fabrication d'articles chaussants à mailles,CB,GS1
14.39Z,Fabrication d'autres articles à mailles,CB,GS1
15.11Z,Apprêt et tannage des cuirs ; préparation et teinture des fourrures,CB,GS1
15.12Z,"Fabrication d'articles de voyage, de maroquinerie et de sellerie",CB,GS1
15.20Z,Fabrication de chaussures,CB,GS1
16.10A,"Sciage et rabotage du bois, hors imprégnation",CC,GS1
16.10B,Imprégnation du bois,CC,GS1
16.21Z,Fabrication de placage et de panneaux de bois,CC,GS1
16.22Z,Fabrication de parquets assemblés,CC,GS1
16.23Z,Fabrication de charpentes et d'autres menuiseries,CC,GS1
16.24Z,Fabrication d'emballages en bois,CC,GS1
16.29Z,"Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie",CC,GS1
17.11Z,Fabrication de pâte à papier,CC,GS1
17.12Z,Fabrication de papier et de carton,CC,GS1
17.21A,Fabrication de carton ondulé,CC,GS1
