codeCommuneEtablissement,activitePrincipaleEtablissement,categorieEntreprise,codePostalEtablissement,libelleCommuneEtablissement
50002,01.11Z,,50180,AGNEAUX
50002,01.41Z,,50180,AGNEAUX
50002,01.42Z,,50180,AGNEAUX
50002,01.49Z,,50180,AGNEAUX
50002,01.49Z,PME,50180,AGNEAUX
50002,01.61Z,,50180,AGNEAUX
50002,02.40Z,,50180,AGNEAUX
50002,10.71B,PME,50180,AGNEAUX
50002,10.71C,,50180,AGNEAUX
50002,10.71C,PME,50180,AGNEAUX
50002,14.13Z,,50180,AGNEAUX
50002,17.29Z,,50180,AGNEAUX
50002,18.13Z,,50180,AGNEAUX
50002,18.13Z,PME,50180,AGNEAUX
50002,23.12Z,ETI,50180,AGNEAUX
50002,23.32Z,,50180,AGNEAUX
50002,24.54Z,PME,50180,AGNEAUX
50002,25.62B,PME,50180,AGNEAUX
50002,28.12Z,PME,50180,AGNEAUX
50002,28.25Z,ETI,50180,AGNEAUX
50002,28.25Z,PME,50180,AGNEAUX
50002,32.50A,,50180,AGNEAUX
50002,32.50A,PME,50180,AGNEAUX
50002,32.50B,PME,50180,AGNEAUX
50002,33.13Z,,50180,AGNEAUX
50002,33.20A,,50180,AGNEAUX
50002,33.20A,ETI,50180,AGNEAUX
50002,33.20B,ETI,50180,AGNEAUX
50002,33.20C,PME,50180,AGNEAUX
50002,35.12Z,GE,50180,AGNEAUX
50002,35.13Z,GE,50180,AGNEAUX
50002,35.23Z,GE,50180,AGNEAUX
50002,38.31Z,PME,50180,AGNEAUX
50002,38.32Z,PME,50180,AGNEAUX
50002,41.10A,,50180,AGNEAUX
50002,41.10A,PME,50180,AGNEAUX
50002,41.10C,PME,50180,AGNEAUX
50002,41.10D,PME,50180,AGNEAUX
50002,41.20A,PME,50180,AGNEAUX
50002,42.21Z,PME,50180,AGNEAUX
50002,42.22Z,ETI,50180,AGNEAUX
50002,43.12A,PME,50180,AGNEAUX
50002,43.21A,ETI,50180,AGNEAUX
50002,43.21A,PME,50180,AGNEAUX
50002,43.22B,GE,50180,AGNEAUX
50002,43.22B,PME,50180,AGNEAUX
50002,43.32A,,50180,AGNEAUX
50002,43.32A,PME,50180,AGNEAUX
50002,43.32B,PME,50180,AGNEAUX
50002,43.33Z,PME,50180,AGNEAUX
50002,43.34Z,PME,50180,AGNEAUX
50002,43.91B,PME,50180,AGNEAUX
50002,43.99A,,50180,AGNEAUX
50002,43.99A,PME,50180,AGNEAUX
50002,43.99C,,50180,AGNEAUX
50002,43.99C,PME,50180,AGNEAUX
50002,43.99D,PME,50180,AGNEAUX
50002,45.11Z,,50180,AGNEAUX
50002,45.11Z,PME,50180,AGNEAUX
50002,45.20A,ETI,50180,AGNEAUX
50002,45.20A,PME,50180,AGNEAUX
