codeCommuneEtablissement,activitePrincipaleEtablissement,categorieEntreprise,codePostalEtablissement,libelleCommuneEtablissement
50004,01.11Z,,50680,AIREL
50004,01.41Z,,50680,AIREL
50004,01.42Z,,50680,AIREL
50004,01.43Z,,50680,AIREL
50004,01.49Z,,50680,AIREL
50004,01.50Z,,50680,AIREL
50004,01.61Z,,50680,AIREL
50004,02.10Z,,50680,AIREL
50004,03.11Z,,50680,AIREL
50004,10.71C,PME,50680,AIREL
50004,14.13Z,,50680,AIREL
50004,14.13Z,PME,50680,AIREL
50004,33.12Z,,50680,AIREL
50004,33.20A,PME,50680,AIREL
50004,43.21A,PME,50680,AIREL
50004,43.22A,PME,50680,AIREL
50004,43.34Z,PME,50680,AIREL
50004,43.91B,PME,50680,AIREL
50004,43.99C,,50680,AIREL
50004,46.18Z,PME,50680,AIREL
50004,46.19B,,50680,AIREL
50004,46.73A,PME,50680,AIREL
50004,47.91B,PME,50680,AIREL
50004,47.99A,,50680,AIREL
50004,49.41A,,50680,AIREL
50004,56.10A,PME,50680,AIREL
50004,56.10C,PME,50680,AIREL
50004,64.20Z,,50680,AIREL
50004,64.20Z,PME,50680,AIREL
50004,68.20A,PME,50680,AIREL
50004,68.20B,,50680,AIREL
50004,68.20B,PME,50680,AIREL
50004,70.10Z,,50680,AIREL
50004,74.90A,PME,50680,AIREL
50004,81.30Z,PME,50680,AIREL
50004,82.99Z,PME,50680,AIREL
50004,84.11Z,PME,50680,AIREL
50004,85.20Z,PME,50680,AIREL
50004,86.90D,PME,50680,AIREL
50004,86.90F,PME,50680,AIREL
50004,88.99B,,50680,AIREL
50004,94.99Z,,50680,AIREL
50004,95.29Z,PME,50680,AIREL
50004,96.09Z,PME,50680,AIREL
50006,01.11Z,,50620,AMIGNY
50006,01.29Z,,50620,AMIGNY
50006,01.41Z,,50620,AMIGNY
50006,01.42Z,,50620,AMIGNY
50006,01.43Z,,50620,AMIGNY
50006,01.50Z,,50620,AMIGNY
50006,43.32A,PME,50620,AMIGNY
50006,46.90Z,,50620,AMIGNY
50006,47.99A,PME,50620,AMIGNY
50006,49.41B,PME,50620,AMIGNY
50006,55.20Z,PME,50620,AMIGNY
50006,59.11A,PME,50620,AMIGNY
50006,68.20B,,50620,AMIGNY
50006,68.20B,PME,50620,AMIGNY
50006,69.20Z,PME,50620,AMIGNY
50006,70.10Z,PME,50620,AMIGNY
50006,70.22Z,,50620,AMIGNY
50006,77.29Z,,50620,AMIGNY
50006,81.29A,PME,50620,AMIGNY
50006,81.29B,,50620,AMIGNY
50006,84.11Z,PME,50620,AMIGNY
50013,01.11Z,,50760,ANNEVILLE-EN-SAIRE
50013,01.13Z,,50760,ANNEVILLE-EN-SAIRE
50013,01.19Z,,50760,ANNEVILLE-EN-SAIRE
50013,01.30Z,,50760,ANNEVILLE-EN-SAIRE
50013,01.42Z,,50760,ANNEVILLE-EN-SAIRE
50013,01.61Z,,50760,ANNEVILLE-EN-SAIRE
50013,03.11Z,,50760,ANNEVILLE-EN-SAIRE
50013,16.24Z,PME,50760,ANNEVILLE-EN-SAIRE
50013,23.41Z,PME,50760,ANNEVILLE-EN-SAIRE
50013,31.03Z,PME,50760,ANNEVILLE-EN-SAIRE
50013,32.13Z,PME,50760,ANNEVILLE-EN-SAIRE
50013,35.11Z,PME,50760,ANNEVILLE-EN-SAIRE
