,codeCommuneEtablissement,activitePrincipaleEtablissement,categorieEntreprise,codePostalEtablissement,libelleCommuneEtablissement
0,50002,01.11Z,,50180,AGNEAUX
1,50002,01.41Z,,50180,AGNEAUX
2,50002,01.42Z,,50180,AGNEAUX
3,50002,01.49Z,,50180,AGNEAUX
4,50002,01.49Z,PME,50180,AGNEAUX
5,50002,01.61Z,,50180,AGNEAUX
6,50002,02.40Z,,50180,AGNEAUX
7,50002,10.71B,PME,50180,AGNEAUX
8,50002,10.71C,,50180,AGNEAUX
9,50002,10.71C,PME,50180,AGNEAUX
10,50002,14.13Z,,50180,AGNEAUX
11,50002,17.29Z,,50180,AGNEAUX
12,50002,18.13Z,,50180,AGNEAUX
13,50002,18.13Z,PME,50180,AGNEAUX
14,50002,23.12Z,ETI,50180,AGNEAUX
15,50002,23.32Z,,50180,AGNEAUX
16,50002,24.54Z,PME,50180,AGNEAUX
17,50002,25.62B,PME,50180,AGNEAUX
18,50002,28.12Z,PME,50180,AGNEAUX
19,50002,28.25Z,ETI,50180,AGNEAUX
20,50002,28.25Z,PME,50180,AGNEAUX
21,50002,32.50A,,50180,AGNEAUX
22,50002,32.50A,PME,50180,AGNEAUX
23,50002,32.50B,PME,50180,AGNEAUX
24,50002,33.13Z,,50180,AGNEAUX
25,50002,33.20A,,50180,AGNEAUX
26,50002,33.20A,ETI,50180,AGNEAUX
27,50002,33.20B,ETI,50180,AGNEAUX
28,50002,33.20C,PME,50180,AGNEAUX
29,50002,35.12Z,GE,50180,AGNEAUX
30,50002,35.13Z,GE,50180,AGNEAUX
31,50002,35.23Z,GE,50180,AGNEAUX
32,50002,38.31Z,PME,50180,AGNEAUX
33,50002,38.32Z,PME,50180,AGNEAUX
34,50002,41.10A,,50180,AGNEAUX
35,50002,41.10A,PME,50180,AGNEAUX
36,50002,41.10C,PME,50180,AGNEAUX
37,50002,41.10D,PME,50180,AGNEAUX
38,50002,41.20A,PME,50180,AGNEAUX
39,50002,42.21Z,PME,50180,AGNEAUX
40,50002,42.22Z,ETI,50180,AGNEAUX
41,50002,43.12A,PME,50180,AGNEAUX
42,50002,43.21A,ETI,50180,AGNEAUX
