code NAF,GS
01.11Z,GS0
01.12Z,GS0
01.13Z,GS0
01.14Z,GS0
01.15Z,GS0
01.16Z,GS0
01.19Z,GS0
01.21Z,GS0
01.22Z,GS0
01.23Z,GS0
01.24Z,GS0
01.25Z,GS0
01.26Z,GS0
01.27Z,GS0
01.28Z,GS0
01.29Z,GS0
01.30Z,GS0
01.41Z,GS0
01.42Z,GS0
01.43Z,GS0
01.44Z,GS0
01.45Z,GS0
01.46Z,GS0
01.47Z,GS0
01.49Z,GS0
01.50Z,GS0
01.61Z,GS0
01.62Z,GS0
01.63Z,GS0
01.64Z,GS0
01.70Z,GS0
02.10Z,GS0
02.20Z,GS0
02.30Z,GS0
02.40Z,GS0
03.11Z,GS0
03.12Z,GS0
03.21Z,GS0
03.22Z,GS0
05.10Z,GS1
05.20Z,GS1
06.10Z,GS1
06.20Z,GS1
07.10Z,GS1
07.21Z,GS1
07.29Z,GS1
08.11Z,GS1
08.12Z,GS1
08.91Z,GS1
08.92Z,GS1
08.93Z,GS1
08.99Z,GS1
09.10Z,GS1
09.90Z,GS1
10.11Z,GS1
10.12Z,GS1
10.13A,GS1
10.13B,GS1
10.20Z,GS1
10.31Z,GS1
10.32Z,GS1
10.39A,GS1
10.39B,GS1
10.41A,GS1
10.41B,GS1
10.42Z,GS1
10.51A,GS1
10.51B,GS1
10.51C,GS1
10.51D,GS1
10.52Z,GS1
10.61A,GS1
10.61B,GS1
10.62Z,GS1
10.71A,GS1
10.71B,GS1
10.71C,GS1
10.71D,GS1
10.72Z,GS1
10.73Z,GS1
10.81Z,GS1
10.82Z,GS1
10.83Z,GS1
10.84Z,GS1
10.85Z,GS1
10.86Z,GS1
10.89Z,GS1
10.91Z,GS1
10.92Z,GS1
11.01Z,GS1
11.02A,GS1
11.02B,GS1
11.03Z,GS1
11.04Z,GS1
11.05Z,GS1
11.06Z,GS1
11.07A,GS1
11.07B,GS1
12.00Z,GS1
13.10Z,GS1
13.20Z,GS1
13.30Z,GS1
13.91Z,GS1
13.92Z,GS1
13.93Z,GS1
13.94Z,GS1
13.95Z,GS1
13.96Z,GS1
13.99Z,GS1
14.11Z,GS1
14.12Z,GS1
14.13Z,GS1
14.14Z,GS1
14.19Z,GS1
14.20Z,GS1
14.31Z,GS1
14.39Z,GS1
15.11Z,GS1
15.12Z,GS1
15.20Z,GS1
16.10A,GS1
16.10B,GS1
16.21Z,GS1
16.22Z,GS1
16.23Z,GS1
16.24Z,GS1
16.29Z,GS1
17.11Z,GS1
17.12Z,GS1
17.21A,GS1
17.21B,GS1
17.21C,GS1
17.22Z,GS1
17.23Z,GS1
17.24Z,GS1
17.29Z,GS1
18.11Z,GS1
18.12Z,GS1
18.13Z,GS1
18.14Z,GS1
18.20Z,GS1
19.10Z,GS1
19.20Z,GS1
20.11Z,GS1
20.12Z,GS1
20.13A,GS1
20.13B,GS1
20.14Z,GS1
20.15Z,GS1
20.16Z,GS1
20.17Z,GS1
20.20Z,GS1
