Libellé,Classement des communes en zone de revitalisation rurale - ZRR 2018,Classement des communes en loi littoral,Classement des communes en zone de revitalisation des commerces en milieu rural - ZoRCoMiR,Communes des parcs naturels régionaux (PNR),"Communes éligibles au zonage d'aide à finalité régionale (AFR), période 2014-2021",Villes bénéficiaires du programme Action Coeur de Ville (ACV)
Agneaux,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Agon-Coutainville,NC - Non classée,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Airel,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Amigny,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Anctoville-sur-Boscq,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Anneville-en-Saire,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Annoville,NC - Non classée,C - Commune classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Appeville,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,T - Intégralement,N/A - hors champ
Aucey-la-Plaine,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Audouville-la-Hubert,C - Classée en ZRR,C - Commune classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Aumeville-Lestre,NC - Non classée,C - Commune classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,NC - Non éligible,N/A - hors champ
Auvers,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,T - Intégralement,N/A - hors champ
Auxais,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,FR8000021 - PNR des Marais du Cotentin et du Bessin,T - Intégralement,N/A - hors champ
Avranches,C - Classée en ZRR,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Azeville,NC - Non classée,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Bacilly,C - Classée en ZRR,NC - Non classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Barenton,C - Classée en ZRR,NC - Non classée,NC - Non classée en ZoRCoMiR,FR8000026 - PNR Normandie-Maine,T - Intégralement,N/A - hors champ
Barfleur,NC - Non classée,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Barneville-Carteret,NC - Non classée,C - Commune classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Baubigny,NC - Non classée,C - Commune classée,C - Classée en ZoRCoMiR,N/A - hors champ,NC - Non éligible,N/A - hors champ
Baudre,NC - Non classée,NC - Non classée,NC - Non classée en ZoRCoMiR,N/A - hors champ,T - Intégralement,N/A - hors champ
